Name,Path,Data Type,Logical Address,Comment
HMI_Run_Enable,Default tag table,Bool,%M20.0,Cho phép hệ thống chạy từ HMI
HMI_Reset_Alarm,Default tag table,Bool,%M20.1,Reset lỗi từ HMI
HMI_Che_Do_Thi,Default tag table,Bool,%M20.2,"Chế độ thi đấu (ON = Chạy thật, OFF = Mô phỏng)"
HMI_Sim_Mode,Default tag table,Bool,%M20.3,Chế độ mô phỏng HMI
PLC1_State,Default tag table,Int,%MW12,Bước quy trình hiện tại PLC1
PLC1_Loi_Tong,Default tag table,Bool,%M20.4,Lỗi tổng PLC1
PLC1_Stop_Active,Default tag table,Bool,%M20.5,Tín hiệu dừng đang hoạt động
PLC1_EStop_Latch,Default tag table,Bool,%M20.6,Chốt trạng thái dừng khẩn cấp PLC1
PLC1_SP_Valid,Default tag table,Bool,%M20.7,Cờ báo giá trị Setpoint hợp lệ
Nut_Khoi_Dong_HMI,Default tag table,Bool,%M21.0,Nút nhấn Start trên HMI
Nut_Dung_HMI,Default tag table,Bool,%M21.1,Nút nhấn Stop trên HMI
Nut_Reset_HMI,Default tag table,Bool,%M21.2,Nút nhấn Reset trên HMI
HMI_VFD_Bon2_Comm_Enable,Default tag table,Bool,%M21.3,Cho phép chạy biến tần Bồn 2 qua truyền thông
HMI_VFD_Bon2_Real_Enable,Default tag table,Bool,%M21.4,Cho phép biến tần Bồn 2 chạy thực tế
HMI_PID_Bon2_Dau_Noi_Enable,Default tag table,Bool,%M21.5,Cho phép chạy bộ PID Bồn 2 cho đấu nối
PID_Bon2_Enable,Default tag table,Bool,%M21.6,Cho phép bộ PID Bồn 2 hoạt động
PID_Bon2_Enable_Eff,Default tag table,Bool,%M21.7,Trạng thái cho phép PID thực tế hiệu dụng
PID_Bon2_SP,Default tag table,Real,%MD30,Setpoint hiệu dụng của PID Bồn 2
PID_Bon2_PV_Eff,Default tag table,Real,%MD34,Phản hồi nhiệt độ/tốc độ hiệu dụng PID Bồn 2
