old_identifier,new_identifier
AI_AGTR3260_Khuay_Bon1,AGTR3260_Khuay_Bon1
AI_AGTR3260_Khuay_Bon1_M,AGTR3260_Khuay_Bon1_M
AI_AGTR3260_Toc_Do_AO,AGTR3260_Toc_Do_AO
AI_AGTR3260_Toc_Do_AO_M,AGTR3260_Toc_Do_AO_M
AI_AGTR3262_Khuay_Bon3,AGTR3262_Khuay_Bon3
AI_AGTR3262_Khuay_Bon3_M,AGTR3262_Khuay_Bon3_M
AI_AGTR3262_Toc_Do_AO,AGTR3262_Toc_Do_AO
AI_AGTR3262_Toc_Do_AO_M,AGTR3262_Toc_Do_AO_M
AI_AGTR3263_Dao_Chieu,AGTR3263_Dao_Chieu
AI_AGTR3263_Dao_Chieu_M,AGTR3263_Dao_Chieu_M
AI_AGTR3263_Khuay_Active,AGTR3263_Khuay_Active
AI_AGTR3263_Khuay_Bon4,AGTR3263_Khuay_Bon4
AI_AGTR3263_Khuay_Bon4_M,AGTR3263_Khuay_Bon4_M
AI_AGTR3263_Should_Run,AGTR3263_Should_Run
AI_AGTR3263_Toc_Do_AO,AGTR3263_Toc_Do_AO
AI_AGTR3263_Toc_Do_AO_M,AGTR3263_Toc_Do_AO_M
AI_Agent_PLC_LADDER_ONLY,Agent_PLC_LADDER_ONLY
AI_BonChua_Chuyen_Bon2_Xong_HMI,BonChua_Chuyen_Bon2_Xong_HMI
AI_BonChua_Loi_Setpoint,BonChua_Loi_Setpoint
AI_BonChua_Me_Hoan_Thanh,BonChua_Me_Hoan_Thanh
AI_BonChua_Nhan_Dich_Xong_HMI,BonChua_Nhan_Dich_Xong_HMI
AI_BonChua_Nhan_Dich_Xong_Nhanh1,BonChua_Nhan_Dich_Xong_Nhanh1
AI_BonChua_Nhan_Dich_Xong_Nhanh2,BonChua_Nhan_Dich_Xong_Nhanh2
AI_BonChua_Owner_Nhanh1,BonChua_Owner_Nhanh1
AI_BonChua_Owner_Nhanh2,BonChua_Owner_Nhanh2
AI_BonChua_SP_Valid,BonChua_SP_Valid
AI_BonChua_State,BonChua_State
AI_BonChua_Step_Chuyen_Bon2,BonChua_Step_Chuyen_Bon2
AI_BonChua_Step_Giai_Nhiet,BonChua_Step_Giai_Nhiet
AI_BonChua_Step_Loc_Chiet,BonChua_Step_Loc_Chiet
AI_BonChua_Step_Nhan_Dich,BonChua_Step_Nhan_Dich
AI_CV3201_Nuoc_Bon1,CV3201_Nuoc_Bon1
AI_CV3201_Nuoc_Bon1_M,CV3201_Nuoc_Bon1_M
AI_CV3206_Hoi_Bon2,CV3206_Hoi_Bon2
AI_CV3206_Hoi_Bon2_M,CV3206_Hoi_Bon2_M
AI_CV3211_Nuoc_Bon3,CV3211_Nuoc_Bon3
AI_CV3211_Nuoc_Bon3_M,CV3211_Nuoc_Bon3_M
AI_CV3216_Hoi_Bon4,CV3216_Hoi_Bon4
AI_CV3216_Hoi_Bon4_M,CV3216_Hoi_Bon4_M
AI_CV3304_Nuoc_Lam_Mat,CV3304_Nuoc_Lam_Mat
AI_CV3304_Nuoc_Lam_Mat_M,CV3304_Nuoc_Lam_Mat_M
AI_CV_Filler_Cap_Dich,CV_Filler_Cap_Dich
AI_CV_Filler_Cap_Dich_M,CV_Filler_Cap_Dich_M
AI_Clock_1Hz,Clock_1Hz
AI_Clock_1Hz_Edge,Clock_1Hz_Edge
AI_Clock_1Hz_Last,Clock_1Hz_Last
AI_Coi_Bao_Dong,Coi_Bao_Dong
AI_Coi_Bao_Dong_M,Coi_Bao_Dong_M
AI_FQ,FQ
AI_FQ3200_Bon1,FQ3200_Bon1
AI_FQ3200_Bon1_Eff,FQ3200_Bon1_Eff
AI_FQ3200_Bon1_HMI,FQ3200_Bon1_HMI
AI_FQ3200_Bon1_Sim_Active,FQ3200_Bon1_Sim_Active
AI_FQ3200_Bon1_Sim_Req,FQ3200_Bon1_Sim_Req
AI_FQ3200_Bon1_Use_HMI,FQ3200_Bon1_Use_HMI
AI_FQ3205_Bon2,FQ3205_Bon2
AI_FQ3205_Bon2_Eff,FQ3205_Bon2_Eff
AI_FQ3205_Bon2_HMI,FQ3205_Bon2_HMI
AI_FQ3205_Bon2_Sim_Active,FQ3205_Bon2_Sim_Active
AI_FQ3205_Bon2_Sim_Req,FQ3205_Bon2_Sim_Req
AI_FQ3205_Bon2_Use_HMI,FQ3205_Bon2_Use_HMI
AI_FQ3210_Bon3,FQ3210_Bon3
AI_FQ3210_Bon3_Eff,FQ3210_Bon3_Eff
AI_FQ3210_Bon3_HMI,FQ3210_Bon3_HMI
AI_FQ3210_Bon3_Sim_Active,FQ3210_Bon3_Sim_Active
AI_FQ3210_Bon3_Sim_Req,FQ3210_Bon3_Sim_Req
AI_FQ3210_Bon3_Use_HMI,FQ3210_Bon3_Use_HMI
AI_FQ3215_Bon4,FQ3215_Bon4
AI_FQ3215_Bon4_Eff,FQ3215_Bon4_Eff
AI_FQ3215_Bon4_HMI,FQ3215_Bon4_HMI
AI_FQ3215_Bon4_Sim_Active,FQ3215_Bon4_Sim_Active
AI_FQ3215_Bon4_Sim_Req,FQ3215_Bon4_Sim_Req
AI_FQ3215_Bon4_Use_HMI,FQ3215_Bon4_Use_HMI
AI_FT3200_Bon1,FT3200_Bon1
AI_FT3200_Bon1_Eff,FT3200_Bon1_Eff
AI_FT3200_Bon1_HMI,FT3200_Bon1_HMI
AI_FT3200_Bon1_Sim_Active,FT3200_Bon1_Sim_Active
AI_FT3200_Bon1_Sim_Req,FT3200_Bon1_Sim_Req
AI_FT3200_Bon1_Use_HMI,FT3200_Bon1_Use_HMI
AI_FT3205_Bon2,FT3205_Bon2
AI_FT3205_Bon2_Eff,FT3205_Bon2_Eff
AI_FT3205_Bon2_HMI,FT3205_Bon2_HMI
AI_FT3205_Bon2_Sim_Active,FT3205_Bon2_Sim_Active
AI_FT3205_Bon2_Sim_Req,FT3205_Bon2_Sim_Req
AI_FT3205_Bon2_Use_HMI,FT3205_Bon2_Use_HMI
AI_FT3210_Bon3,FT3210_Bon3
AI_FT3210_Bon3_Eff,FT3210_Bon3_Eff
AI_FT3210_Bon3_HMI,FT3210_Bon3_HMI
AI_FT3210_Bon3_Sim_Active,FT3210_Bon3_Sim_Active
AI_FT3210_Bon3_Sim_Req,FT3210_Bon3_Sim_Req
AI_FT3210_Bon3_Use_HMI,FT3210_Bon3_Use_HMI
AI_FT3215_Bon4,FT3215_Bon4
AI_FT3215_Bon4_Eff,FT3215_Bon4_Eff
AI_FT3215_Bon4_HMI,FT3215_Bon4_HMI
AI_FT3215_Bon4_Sim_Active,FT3215_Bon4_Sim_Active
AI_FT3215_Bon4_Sim_Req,FT3215_Bon4_Sim_Req
AI_FT3215_Bon4_Use_HMI,FT3215_Bon4_Use_HMI
AI_FT3309_Xa_Thanh_Pham,FT3309_Xa_Thanh_Pham
AI_FT3309_Xa_Thanh_Pham_Eff,FT3309_Xa_Thanh_Pham_Eff
AI_FT3309_Xa_Thanh_Pham_HMI,FT3309_Xa_Thanh_Pham_HMI
AI_FT3309_Xa_Thanh_Pham_Sim_Active,FT3309_Xa_Thanh_Pham_Sim_Active
AI_FT3309_Xa_Thanh_Pham_Sim_Req,FT3309_Xa_Thanh_Pham_Sim_Req
