ScreenName,ObjectType,ObjectName,Left,Top,Width,Height,ProposedTag,PLC_Owner,Connection,DataType,FormatPattern,ProposedMode,NearestLabel,UnitLabelAligned
bon_tron_1,SymbolLibrary,Symbol library_2,110,205,41,36,HMI_Anim_Bon1_Frame,PLC1,HMI_Connection_1,Int,N/A,Output,Direct ObjectName mapping,N/A
bon_tron_1,SymbolLibrary,Symbol library_5,335,195,14,106,HMI_Anim_Bon1_MucDich,PLC1,HMI_Connection_1,Int,N/A,Output,Direct ObjectName mapping,N/A
bon_tron_1,SymbolLibrary,Symbol library_9,157,528,14,106,V3233_Xa_Bon1,PLC1,HMI_Connection_1,Bool,N/A,Output,Direct ObjectName mapping,N/A
bon_tron_1,SymbolLibrary,Symbol library_11,154,458,41,36,V3232_Xa_Bon1,PLC1,HMI_Connection_1,Bool,N/A,Output,Direct ObjectName mapping,N/A
bon_tron_1,SymbolLibrary,Symbol library_16,408,650,34,21,Pump3264_Chuyen_Nhanh1,PLC1,HMI_Connection_1,Bool,N/A,Output,Direct ObjectName mapping,N/A
bon_tron_1,IOField,I/O field_1,576,518,67,28,HMI_SP_Time_Khuay_Bon1,PLC1,HMI_Connection_1,Time,9999,Input/output,Direct ObjectName mapping,None
bon_tron_1,IOField,I/O field_8,358,169,58,26,CV3201_Nuoc_Bon1_M,PLC1,HMI_Connection_1,Real,999.9,Output,Direct ObjectName mapping,None
bon_tron_1,IOField,I/O field_9,212,94,87,42,FQ3200_Bon1_Eff,PLC1,HMI_Connection_1,Real,999.9,Output,Direct ObjectName mapping,None
bon_tron_1,IOField,I/O field_11,536,324,87,42,GIA_TRI_NHIET_DO_DOC_VE,PLC1,HMI_Connection_1,Real,999.9,Output,Direct ObjectName mapping,None
bon_tron_1,IOField,I/O field_12,198,331,58,26,LT3203_Bon1_Eff,PLC1,HMI_Connection_1,Real,999.9,Output,Direct ObjectName mapping,"Text field_9 ('L') aligned to Left=264, 13 Bold"
bon_tron_1,IOField,I/O field_13,198,384,58,26,TT3204_Bon1_Eff,PLC1,HMI_Connection_1,Real,999.9,Output,Direct ObjectName mapping,None
bon_tron_1,IOField,I/O field_4,1,191,67,28,nguyen_lieu_tron_1,PLC1,HMI_Connection_1,Bool,1,Output,Direct ObjectName mapping,None
bon_tron_1,IOField,I/O field_6,1,241,67,28,cap_nuoc_tron_1,PLC1,HMI_Connection_1,Bool,1,Output,Direct ObjectName mapping,None
bon_tron_1,SymbolLibrary,Symbol library_4,156,549,41,36,V3234_Xa_Bon1,PLC1,HMI_Connection_1,Bool,N/A,Output,Direct ObjectName mapping,N/A
bon_tron_1,IOField,I/O field_7,752,553,87,42,HMI_SP_PLC1_Nuoc_Bon1,PLC1,HMI_Connection_1,Real,999.9,Input/output,Direct ObjectName mapping,None
bon_tron_2,SymbolLibrary,Symbol library_2,110,205,41,36,HMI_Anim_Bon2_Frame,PLC1,HMI_Connection_1,Int,N/A,Output,Direct ObjectName mapping,N/A
bon_tron_2,SymbolLibrary,Symbol library_56,190,153,21,34,V3235_Nuoc_Bon2,PLC1,HMI_Connection_1,Bool,N/A,Output,Direct ObjectName mapping,N/A
bon_tron_2,SymbolLibrary,Symbol library_5,335,195,14,106,HMI_Anim_Bon2_MucDich,PLC1,HMI_Connection_1,Int,N/A,Output,Direct ObjectName mapping,N/A
bon_tron_2,SymbolLibrary,Symbol library_9,157,528,14,106,V3238_Xa_Bon2,PLC1,HMI_Connection_1,Bool,N/A,Output,Direct ObjectName mapping,N/A
bon_tron_2,SymbolLibrary,Symbol library_11,154,458,41,36,V3237_Xa_Bon2,PLC1,HMI_Connection_1,Bool,N/A,Output,Direct ObjectName mapping,N/A
bon_tron_2,SymbolLibrary,Symbol library_14,186,653,218,13,V3239_Xa_Bon2,PLC1,HMI_Connection_1,Bool,N/A,Output,Direct ObjectName mapping,N/A
