ObjectName,Type,Left,Top,Width,Height,ProcessValue,FormatPattern,HorizontalAlignment,VerticalAlignment,Mode,NearestLabelName,NearestLabelText
I/O field_1,IOField,133,61,47,32,,999999,Center,Middle,InOutput,Text field_1,
I/O field_2,IOField,300,127,43,28,,99.9,Center,Middle,InOutput,Text field_26,
I/O field_3,IOField,832,741,51,28,,99.9,Left,Middle,InOutput,Text field_74,
I/O field_4,IOField,791,589,44,28,,99.9,Center,Middle,InOutput,Text field_73,
I/O field_5,IOField,353,195,43,28,,99.9,Center,Middle,InOutput,Text field_28,
I/O field_6,IOField,354,296,43,28,,99.9,Center,Middle,InOutput,Text field_29,
I/O field_7,IOField,486,65,43,28,,999999,Center,Middle,InOutput,Text field_3,
I/O field_8,IOField,636,129,43,28,,99.9,Center,Middle,InOutput,Text field_32,
I/O field_9,IOField,689,192,43,28,,99.9,Center,Middle,InOutput,Text field_33,
I/O field_10,IOField,688,294,43,28,,99.9,Center,Middle,InOutput,Text field_34,
I/O field_11,IOField,804,61,43,28,,999999,Center,Middle,InOutput,Text field_4,
I/O field_12,IOField,965,127,43,28,,99.9,Center,Middle,InOutput,Text field_37,
I/O field_13,IOField,1016,190,43,28,,99.9,Center,Middle,InOutput,Text field_35,
I/O field_14,IOField,1015,293,43,28,,99.9,Center,Middle,InOutput,Text field_36,
I/O field_15,IOField,1143,62,43,28,,999999,Center,Middle,InOutput,Text field_5,
I/O field_16,IOField,1318,130,43,28,,99.9,Center,Middle,InOutput,Text field_41,
I/O field_17,IOField,1365,193,43,28,,99.9,Center,Middle,InOutput,Text field_42,
I/O field_18,IOField,1367,293,43,28,,99.9,Center,Middle,InOutput,Text field_43,
I/O field_19,IOField,412,586,43,28,,99.9,Center,Middle,InOutput,Text field_71,
I/O field_20,IOField,417,713,43,28,,99.9,Center,Middle,InOutput,Text field_18,
I/O field_21,IOField,1134,711,43,28,,99.9,Center,Middle,InOutput,Text field_76,
I/O field_22,IOField,1135,589,43,28,,99.9,Center,Middle,InOutput,Text field_75,
I/O field_23,IOField,1280,616,43,28,,999999,Center,Middle,InOutput,Text field_77,
I/O field_24,IOField,1280,670,43,28,,99.9,Center,Middle,InOutput,Text field_77,
Graphic I/O field_9,GraphicIOField,430,521,275,288,,,,,,,
Graphic I/O field_10,GraphicIOField,154,90,233,295,,,,,,,
Graphic I/O field_2,GraphicIOField,904,517,275,288,,,,,,,
Graphic I/O field_3,GraphicIOField,486,90,233,295,,,,,,,
Graphic I/O field_4,GraphicIOField,811,89,233,295,,,,,,,
Graphic I/O field_6,GraphicIOField,1160,89,233,295,,,,,,,
Graphic I/O field_5,GraphicIOField,189,70,51,78,,,,,,,
Graphic I/O field_12,GraphicIOField,533,70,51,78,,,,,,,
Graphic I/O field_13,GraphicIOField,860,69,51,78,,,,,,,
Graphic I/O field_14,GraphicIOField,1193,67,51,78,,,,,,,
Graphic I/O field_11,GraphicIOField,220,429,51,78,,,,,,,
Graphic I/O field_8,GraphicIOField,220,339,51,78,,,,,,,
Graphic I/O field_15,GraphicIOField,556,341,51,78,,,,,,,
Graphic I/O field_16,GraphicIOField,558,417,51,78,,,,,,,
Graphic I/O field_18,GraphicIOField,857,346,51,78,,,,,,,
Graphic I/O field_20,GraphicIOField,857,412,51,78,,,,,,,
Graphic I/O field_19,GraphicIOField,1214,347,51,78,,,,,,,
Graphic I/O field_21,GraphicIOField,1213,419,51,78,,,,,,,
Graphic I/O field_24,GraphicIOField,554,759,51,78,,,,,,,
Graphic I/O field_7,GraphicIOField,133,396,83,47,,,,,,,
Graphic I/O field_33,GraphicIOField,282,542,60,42,,,,,,,
Graphic I/O field_17,GraphicIOField,471,394,83,47,,,,,,,
Graphic I/O field_22,GraphicIOField,903,387,83,47,,,,,,,
Graphic I/O field_23,GraphicIOField,1257,394,83,47,,,,,,,
Graphic I/O field_1,GraphicIOField,608,851,60,42,,,,,,,
Graphic I/O field_25,GraphicIOField,672,597,51,78,,,,,,,
Graphic I/O field_34,GraphicIOField,587,792,90,71,,,,,,,
Graphic I/O field_27,GraphicIOField,725,829,51,78,,,,,,,
Graphic I/O field_26,GraphicIOField,725,757,51,78,,,,,,,
Graphic I/O field_30,GraphicIOField,467,804,83,47,,,,,,,
Graphic I/O field_28,GraphicIOField,1030,754,51,78,,,,,,,
Graphic I/O field_35,GraphicIOField,1108,764,90,71,,,,,,,
Graphic I/O field_36,GraphicIOField,1123,820,60,42,,,,,,,
Graphic I/O field_29,GraphicIOField,1191,655,51,78,,,,,,,
Graphic I/O field_37,GraphicIOField,1156,541,60,42,,,,,,,
Graphic I/O field_32,GraphicIOField,1346,558,83,47,,,,,,,
Graphic I/O field_38,GraphicIOField,123,84,292,298,,,,,,,
Graphic I/O field_39,GraphicIOField,459,83,292,298,,,,,,,
Graphic I/O field_40,GraphicIOField,782,86,292,298,,,,,,,
Graphic I/O field_41,GraphicIOField,1130,90,292,298,,,,,,,
Graphic I/O field_31,GraphicIOField,930,792,83,47,,,,,,,
