#,ObjectName,Left,Top,Width,Height,FormatPattern,PLC_Owner,Proposed_Tag,DataType,Proposed_Connection,Confidence,Need_HMI_Connection_2,Blocker,Rationale
1,I/O field_1,133,61,47,32,999.9,PLC_1,FQ3200_Bon1_Eff,Real,HMI_Connection_1,HIGH,no,,"Col1 Bon1, hang FQ, PLC_1 addr=%MD712"
2,I/O field_7,486,65,43,28,999.9,PLC_1,FQ3205_Bon2_Eff,Real,HMI_Connection_1,HIGH,no,,"Col2 Bon2, hang FQ, PLC_1 addr=%MD744"
3,I/O field_11,804,61,43,28,999.9,PLC_2,FQ3215_Bon4_Eff,Real,HMI_Connection_2,HIGH,YES,BLOCKER,"Col3 Bon4, hang FQ, PLC_2 addr=%MD808 - BLOCKER: can HMI_Connection_2"
4,I/O field_15,1143,62,43,28,999.9,PLC_2,FQ3210_Bon3_Eff,Real,HMI_Connection_2,HIGH,YES,BLOCKER,"Col4 Bon3, hang FQ, PLC_2 addr=%MD776 - BLOCKER"
5,I/O field_2,300,127,43,28,999.9,PLC_1,LT3203_Bon1_Eff,Real,HMI_Connection_1,HIGH,no,,"Col1 Bon1, hang LT, PLC_1 addr=%MD720"
6,I/O field_8,636,129,43,28,999.9,PLC_1,LT3209_Bon2_Eff,Real,HMI_Connection_1,HIGH,no,,"Col2 Bon2, hang LT, PLC_1 addr=%MD752"
7,I/O field_12,965,127,43,28,999.9,PLC_2,LT3218_Bon4_Eff,Real,HMI_Connection_2,HIGH,YES,BLOCKER,"Col3 Bon4, hang LT, PLC_2 addr=%MD816 - BLOCKER"
8,I/O field_16,1318,130,43,28,999.9,PLC_2,LT3213_Bon3_Eff,Real,HMI_Connection_2,HIGH,YES,BLOCKER,"Col4 Bon3, hang LT, PLC_2 addr=%MD784 - BLOCKER"
9,I/O field_5,353,195,43,28,99.9,PLC_1,TT3204_Bon1_Eff,Real,HMI_Connection_1,HIGH,no,,"Col1 Bon1, hang TT, PLC_1 addr=%MD728"
10,I/O field_9,689,192,43,28,99.9,PLC_1,TT3208_Bon2_Eff,Real,HMI_Connection_1,HIGH,no,,"Col2 Bon2, hang TT, PLC_1 addr=%MD760"
11,I/O field_13,1016,190,43,28,99.9,PLC_2,TT3219_Bon4_Eff,Real,HMI_Connection_2,HIGH,YES,BLOCKER,"Col3 Bon4, hang TT, PLC_2 addr=%MD824 - BLOCKER"
12,I/O field_17,1365,193,43,28,99.9,PLC_2,TT3214_Bon3_Eff,Real,HMI_Connection_2,HIGH,YES,BLOCKER,"Col4 Bon3, hang TT, PLC_2 addr=%MD792 - BLOCKER"
13,I/O field_6,354,296,43,28,999.9,PLC_1,CV3201_Nuoc_Bon1_M,Real,HMI_Connection_1,HIGH,no,,"Col1 Bon1, hang CV, PLC_1 addr=%MD1200"
14,I/O field_10,688,294,43,28,999.9,PLC_1,CV3206_Hoi_Bon2_M,Real,HMI_Connection_1,HIGH,no,,"Col2 Bon2, hang CV, PLC_1 addr=%MD1208"
15,I/O field_14,1015,293,43,28,999.9,PLC_2,CV3216_Hoi_Bon4_M,Real,HMI_Connection_2,HIGH,YES,BLOCKER,"Col3 Bon4, hang CV, PLC_2 addr=%MD1224 - BLOCKER"
16,I/O field_18,1367,293,43,28,999.9,PLC_2,CV3211_Nuoc_Bon3_M,Real,HMI_Connection_2,HIGH,YES,BLOCKER,"Col4 Bon3, hang CV, PLC_2 addr=%MD1216 - BLOCKER"
17,I/O field_19,412,586,43,28,999.9,PLC_1,LT3302_BonChua1_Eff,Real,HMI_Connection_1,HIGH,no,,"BonChua1 trai, LT muc long, PLC_1 addr=%MD832"
18,I/O field_20,417,713,43,28,99.9,PLC_1,TT3301_BonChua1_Eff,Real,HMI_Connection_1,HIGH,no,,"BonChua1 trai, TT nhiet do, PLC_1 addr=%MD840"
19,I/O field_22,1135,589,43,28,999.9,PLC_1,LT3307_BonChua2_Eff,Real,HMI_Connection_1,HIGH,no,,"BonChua2 phai, LT muc long, PLC_1 addr=%MD856"
20,I/O field_21,1134,711,43,28,99.9,PLC_1,TT3306_BonChua2_Eff,Real,HMI_Connection_1,HIGH,no,,"BonChua2 phai, TT nhiet do, PLC_1 addr=%MD864"
21,I/O field_23,1280,616,43,28,99.9,PLC_1,PI3308_Truoc_Filter_Eff,Real,HMI_Connection_1,HIGH,no,,"x=1280,y=616, ap suat truoc filter, PLC_1, format=99.9 (bar)"
22,I/O field_24,1280,670,43,28,999.9,PLC_1,FT3309_Xa_Thanh_Pham_Eff,Real,HMI_Connection_1,HIGH,no,,"x=1280,y=670, FT xa thanh pham, PLC_1 addr=%MD880, format=999.9 (L/h)"
23,I/O field_3,832,741,51,28,999.9,PLC_1,CV3304_Nuoc_Lam_Mat_M,Real,HMI_Connection_1,HIGH,no,,"x=832,y=741, CV nuoc lam mat, PLC_1 addr=%MD1232, format=999.9 (%)"
24,I/O field_4,791,589,44,28,99.9,PLC_1,TT3303_TraoDoiNhiet_Eff,Real,HMI_Connection_1,HIGH,no,,"x=791,y=589, TT trao doi nhiet, PLC_1 addr=%MD848, format=99.9 (°C)"
N/A,(missing),,,,,999.9,PLC_1,CV_Filler_Cap_Dich_M,Real,HMI_Connection_1,N/A,no,NO_IOFIELD,KHONG CO IOField tuong ung trong Screen_1 (24 o hien co). Cho nguoi dung dat thu cong. Khong tu tao o hoac sua layout.
